Center frequency;5;
Sampling freq.;160;
Samples;512;
Reference amplitude;100;

Time(µs);Amplitude(dB);Amplitude(val);
0.9062;-4.1971E1;-7.9696E-1;
0.9125;-4.2345E1;-7.6339E-1;
0.9188;-4.32E1;-6.9186E-1;
0.925;-4.4635E1;-5.865E-1;
0.9312;-4.6852E1;-4.5435E-1;
0.9375;-5.0316E1;-3.0491E-1;
0.9438;-5.6511E1;-1.4943E-1;
0.95;NaN;0E0;
0.9562;-5.7627E1;1.3141E-1;
0.9625;-5.2613E1;2.3408E-1;
0.9688;-5.0471E1;2.9953E-1;
0.975;-4.9832E1;3.2242E-1;
0.9813;-5.0422E1;3.0123E-1;
0.9875;-5.2445E1;2.3864E-1;
0.9938;-5.6981E1;1.4156E-1;
1;-7.3619E1;2.0847E-2;
1.0062;-5.9214E1;-1.0947E-1;
1.0125;-5.2647E1;-2.3316E-1;
1.0188;-4.9549E1;-3.3308E-1;
1.025;-4.8119E1;-3.927E-1;
1.0312;-4.8012E1;-3.9757E-1;
1.0375;-4.9452E1;-3.3681E-1;
1.0438;-5.3792E1;-2.0437E-1;
1.05;NaN;0E0;
1.0563;-5.1364E1;2.7026E-1;
1.0625;-4.4524E1;5.9404E-1;
1.0688;-4.0417E1;9.5314E-1;
1.075;-3.7558E1;1.3246E0;
1.0812;-3.5482E1;1.6822E0;
1.0875;-3.3986E1;1.9985E0;
1.0938;-3.2968E1;2.247E0;
1.1;-3.2381E1;2.4042E0;
1.1062;-3.2209E1;2.4522E0;
1.1125;-3.2466E1;2.3806E0;
1.1188;-3.3201E1;2.1875E0;
1.125;-3.4512E1;1.8809E0;
1.1312;-3.6603E1;1.4787E0;
1.1375;-3.9936E1;1.0074E0;
1.1438;-4.5996E1;5.014E-1;
1.15;NaN;0E0;
1.1562;-4.6833E1;-4.5537E-1;
1.1625;-4.1674E1;-8.2467E-1;
1.1688;-3.9388E1;-1.073E0;
1.175;-3.8606E1;-1.174E0;
1.1813;-3.9064E1;-1.1138E0;
1.1875;-4.0986E1;-8.9264E-1;
1.1938;-4.5555E1;-5.2752E-1;
1.2;-6.566E1;-5.2119E-2;
1.2062;-4.6306E1;4.8381E-1;
1.2125;-3.9856E1;1.0167E0;
1.2188;-3.6636E1;1.473E0;
1.225;-3.5023E1;1.7736E0;
1.2313;-3.4703E1;1.8402E0;
1.2375;-3.5909E1;1.6015E0;
