#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
0;-7.3013E1;-2.2353E-2;
0.0143;-7.3013E1;-2.2353E-2;
0.0286;-7.3013E1;-2.2354E-2;
0.0429;-7.3013E1;-2.2355E-2;
0.0571;-7.3012E1;-2.2356E-2;
0.0714;-7.3011E1;-2.2358E-2;
0.0857;-7.301E1;-2.236E-2;
0.1;-7.3009E1;-2.2363E-2;
0.1143;-7.3008E1;-2.2366E-2;
0.1286;-7.3007E1;-2.2369E-2;
0.1429;-7.3005E1;-2.2373E-2;
0.1571;-7.3004E1;-2.2378E-2;
0.1714;-7.3002E1;-2.2382E-2;
0.1857;-7.3E1;-2.2387E-2;
0.2;-7.2998E1;-2.2393E-2;
0.2143;-7.2995E1;-2.2399E-2;
0.2286;-7.2993E1;-2.2405E-2;
0.2429;-7.299E1;-2.2412E-2;
0.2571;-7.2988E1;-2.2419E-2;
0.2714;-7.2985E1;-2.2427E-2;
0.2857;-7.2981E1;-2.2435E-2;
0.3;-7.2978E1;-2.2443E-2;
0.3143;-7.2975E1;-2.2452E-2;
0.3286;-7.2971E1;-2.2462E-2;
0.3429;-7.2967E1;-2.2472E-2;
0.3571;-7.2963E1;-2.2482E-2;
0.3714;-7.2959E1;-2.2492E-2;
0.3857;-7.2955E1;-2.2504E-2;
0.4;-7.2951E1;-2.2515E-2;
0.4143;-7.2946E1;-2.2527E-2;
0.4286;-7.2941E1;-2.254E-2;
0.4429;-7.2936E1;-2.2552E-2;
0.4571;-7.2931E1;-2.2566E-2;
0.4714;-7.2926E1;-2.258E-2;
0.4857;-7.292E1;-2.2594E-2;
0.5;-7.2914E1;-2.2609E-2;
0.5143;-7.2909E1;-2.2624E-2;
0.5286;-7.2903E1;-2.264E-2;
0.5429;-7.2896E1;-2.2656E-2;
0.5571;-7.289E1;-2.2673E-2;
0.5714;-7.2883E1;-2.269E-2;
0.5857;-7.2877E1;-2.2707E-2;
0.6;-7.287E1;-2.2725E-2;
0.6143;-7.2863E1;-2.2744E-2;
0.6286;-7.2855E1;-2.2763E-2;
0.6429;-7.2848E1;-2.2783E-2;
0.6571;-7.284E1;-2.2803E-2;
0.6714;-7.2832E1;-2.2824E-2;
0.6857;-7.2824E1;-2.2845E-2;
0.7;-7.2816E1;-2.2867E-2;
0.7143;-7.2807E1;-2.2889E-2;
0.7286;-7.2799E1;-2.2912E-2;
0.7429;-7.279E1;-2.2936E-2;
0.7571;-7.2781E1;-2.296E-2;
0.7714;-7.2771E1;-2.2984E-2;
0.7857;-7.2762E1;-2.3009E-2;
0.8;-7.2752E1;-2.3035E-2;
0.8143;-7.2742E1;-2.3061E-2;
0.8286;-7.2732E1;-2.3088E-2;
0.8429;-7.2722E1;-2.3116E-2;
0.8571;-7.2711E1;-2.3144E-2;
0.8714;-7.2701E1;-2.3173E-2;
0.8857;-7.269E1;-2.3202E-2;
0.9;-7.2678E1;-2.3232E-2;
0.9143;-7.2667E1;-2.3262E-2;
0.9286;-7.2655E1;-2.3294E-2;
0.9429;-7.2643E1;-2.3326E-2;
0.9571;-7.2631E1;-2.3358E-2;
0.9714;-7.2619E1;-2.3392E-2;
0.9857;-7.2606E1;-2.3426E-2;
1;-7.2593E1;-2.346E-2;
1.0143;-7.258E1;-2.3496E-2;
1.0286;-7.2567E1;-2.3532E-2;
1.0429;-7.2553E1;-2.3569E-2;
1.0571;-7.2539E1;-2.3606E-2;
1.0714;-7.2525E1;-2.3645E-2;
1.0857;-7.2511E1;-2.3684E-2;
1.1;-7.2496E1;-2.3724E-2;
1.1143;-7.2482E1;-2.3764E-2;
1.1286;-7.2466E1;-2.3806E-2;
1.1429;-7.2451E1;-2.3848E-2;
1.1571;-7.2435E1;-2.3891E-2;
1.1714;-7.2419E1;-2.3935E-2;
1.1857;-7.2403E1;-2.398E-2;
1.2;-7.2387E1;-2.4026E-2;
1.2143;-7.237E1;-2.4072E-2;
1.2286;-7.2353E1;-2.412E-2;
1.2429;-7.2335E1;-2.4168E-2;
1.2571;-7.2317E1;-2.4217E-2;
1.2714;-7.2299E1;-2.4268E-2;
1.2857;-7.2281E1;-2.4319E-2;
1.3;-7.2263E1;-2.4371E-2;
1.3143;-7.2244E1;-2.4424E-2;
1.3286;-7.2224E1;-2.4478E-2;
1.3429;-7.2205E1;-2.4534E-2;
1.3571;-7.2185E1;-2.459E-2;
1.3714;-7.2165E1;-2.4647E-2;
1.3857;-7.2144E1;-2.4706E-2;
1.4;-7.2123E1;-2.4765E-2;
1.4143;-7.2102E1;-2.4826E-2;
1.4286;-7.208E1;-2.4887E-2;
1.4429;-7.2058E1;-2.495E-2;
1.4571;-7.2036E1;-2.5015E-2;
1.4714;-7.2013E1;-2.508E-2;
1.4857;-7.199E1;-2.5146E-2;
1.5;-7.1967E1;-2.5214E-2;
1.5143;-7.1943E1;-2.5283E-2;
1.5286;-7.1919E1;-2.5354E-2;
1.5429;-7.1895E1;-2.5426E-2;
1.5571;-7.187E1;-2.5499E-2;
1.5714;-7.1844E1;-2.5573E-2;
1.5857;-7.1819E1;-2.5649E-2;
1.6;-7.1792E1;-2.5726E-2;
1.6143;-7.1766E1;-2.5805E-2;
1.6286;-7.1739E1;-2.5885E-2;
1.6429;-7.1712E1;-2.5967E-2;
1.6571;-7.1684E1;-2.605E-2;
1.6714;-7.1655E1;-2.6135E-2;
1.6857;-7.1627E1;-2.6222E-2;
1.7;-7.1598E1;-2.631E-2;
1.7143;-7.1568E1;-2.64E-2;
1.7286;-7.1538E1;-2.6491E-2;
1.7429;-7.1508E1;-2.6584E-2;
1.7571;-7.1477E1;-2.6679E-2;
1.7714;-7.1445E1;-2.6776E-2;
1.7857;-7.1413E1;-2.6875E-2;
1.8;-7.1381E1;-2.6975E-2;
1.8143;-7.1348E1;-2.7077E-2;
1.8286;-7.1314E1;-2.7182E-2;
1.8429;-7.1281E1;-2.7288E-2;
1.8571;-7.1246E1;-2.7396E-2;
1.8714;-7.1211E1;-2.7507E-2;
1.8857;-7.1176E1;-2.7619E-2;
1.9;-7.114E1;-2.7734E-2;
1.9143;-7.1103E1;-2.7851E-2;
1.9286;-7.1066E1;-2.797E-2;
1.9429;-7.1029E1;-2.8091E-2;
1.9571;-7.099E1;-2.8215E-2;
1.9714;-7.0952E1;-2.8341E-2;
1.9857;-7.0912E1;-2.8469E-2;
2;-7.0873E1;-2.86E-2;
2.0143;-7.0832E1;-2.8734E-2;
2.0286;-7.0791E1;-2.887E-2;
2.0429;-7.075E1;-2.9008E-2;
2.0571;-7.0708E1;-2.9149E-2;
2.0714;-7.0665E1;-2.9292E-2;
2.0857;-7.0622E1;-2.9438E-2;
2.1;-7.0578E1;-2.9586E-2;
2.1143;-7.0534E1;-2.9736E-2;
2.1286;-7.049E1;-2.9889E-2;
2.1429;-7.0445E1;-3.0044E-2;
2.1571;-7.0399E1;-3.0201E-2;
2.1714;-7.0354E1;-3.0361E-2;
2.1857;-7.0308E1;-3.0523E-2;
2.2;-7.0261E1;-3.0688E-2;
2.2143;-7.0213E1;-3.0856E-2;
2.2286;-7.0165E1;-3.1029E-2;
2.2429;-7.0114E1;-3.1209E-2;
2.2571;-7.0062E1;-3.1398E-2;
2.2714;-7.0006E1;-3.16E-2;
2.2857;-6.9946E1;-3.1819E-2;
2.3;-6.9881E1;-3.206E-2;
2.3143;-6.9808E1;-3.2331E-2;
2.3286;-6.9725E1;-3.264E-2;
2.3429;-6.9631E1;-3.2995E-2;
2.3571;-6.9524E1;-3.3405E-2;
2.3714;-6.9402E1;-3.3878E-2;
2.3857;-6.9264E1;-3.4419E-2;
2.4;-6.9112E1;-3.5027E-2;
2.4143;-6.8948E1;-3.5694E-2;
2.4286;-6.8778E1;-3.6402E-2;
2.4429;-6.8609E1;-3.7114E-2;
2.4571;-6.8456E1;-3.7774E-2;
2.4714;-6.8336E1;-3.83E-2;
2.4857;-6.8273E1;-3.8578E-2;
2.5;-6.83E1;-3.8458E-2;
2.5143;-6.8461E1;-3.7751E-2;
2.5286;-6.8818E1;-3.6231E-2;
2.5429;-6.9464E1;-3.3636E-2;
2.5571;-7.0551E1;-2.9681E-2;
2.5714;-7.2371E1;-2.407E-2;
2.5857;-7.5636E1;-1.6528E-2;
2.6;-8.3306E1;-6.834E-3;
2.6143;-8.5794E1;5.1323E-3;
2.6286;-7.4276E1;1.9329E-2;
