#Center frequency;2;
#Sampling freq.;60;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
2.4667;-1.333E0;-8.5773E1;
2.4833;-4.8578E-1;-9.4561E1;
2.5;-6.5569E-2;-9.9248E1;
2.5167;-3.2087E-2;-9.9631E1;
2.5333;-3.823E-1;-9.5694E1;
2.55;-1.1492E0;-8.7607E1;
2.5667;-2.4157E0;-7.5721E1;
2.5833;-4.3576E0;-6.0551E1;
2.6;-7.3802E0;-4.2756E1;
2.6167;-1.2726E1;-2.3106E1;
2.6333;-3.2202E1;-2.4541E0;
2.65;-1.4749E1;1.8304E1;
2.6667;-8.3432E0;3.8268E1;
2.6833;-4.9478E0;5.6573E1;
2.7;-2.8023E0;7.2425E1;
2.7167;-1.3978E0;8.5136E1;
2.7333;-5.2319E-1;9.4154E1;
2.75;-7.938E-2;9.909E1;
2.7667;-2.3567E-2;9.9729E1;
2.7833;-3.5068E-1;9.6043E1;
2.8;-1.0914E0;8.8192E1;
2.8167;-2.3249E0;7.6517E1;
2.8333;-4.2192E0;6.1523E1;
2.85;-7.1583E0;4.3862E1;
2.8667;-1.2289E1;2.4298E1;
2.8833;-2.8681E1;3.6807E0;
2.9;-1.5342E1;-1.7096E1;
2.9167;-8.6051E0;-3.7132E1;
2.9333;-5.1052E0;-5.5557E1;
2.95;-2.905E0;-7.1573E1;
2.9667;-1.4644E0;-8.4485E1;
2.9833;-5.6207E-1;-9.3734E1;
3;-9.4524E-2;-9.8918E1;
3.0167;-1.6361E-2;-9.9812E1;
3.0333;-3.2048E-1;-9.6378E1;
3.05;-1.0353E0;-8.8764E1;
3.0667;-2.2363E0;-7.7301E1;
3.0833;-4.0844E0;-6.2486E1;
3.1;-6.9433E0;-4.4961E1;
3.1167;-1.1874E1;-2.5487E1;
3.1333;-2.6184E1;-4.9068E0;
3.15;-1.598E1;1.5886E1;
3.1667;-8.8765E0;3.599E1;
3.1833;-5.2669E0;5.4532E1;
3.2;-3.0103E0;7.0711E1;
3.2167;-1.5328E0;8.3822E1;
3.2333;-6.0243E-1;9.3299E1;
3.25;-1.11E-1;9.873E1;
3.2667;-1.0469E-2;9.988E1;
3.2833;-2.9168E-1;9.6698E1;
3.3;-9.8079E-1;8.9322E1;
3.3167;-2.1499E0;7.8074E1;
3.3333;-3.9528E0;6.3439E1;
3.35;-6.7347E0;4.6054E1;
3.3667;-1.1479E1;2.6671E1;
3.3833;-2.4248E1;6.1321E0;
3.4;-1.667E1;-1.4673E1;
3.4167;-9.158E0;-3.4842E1;
3.4333;-5.433E0;-5.35E1;
3.45;-3.1182E0;-6.9838E1;
3.4667;-1.6031E0;-8.3147E1;
3.4833;-6.443E-1;-9.2851E1;
3.5;-1.2883E-1;-9.8528E1;
3.5167;-5.8879E-3;-9.9932E1;
3.5333;-2.6429E-1;-9.7003E1;
3.55;-9.2795E-1;-8.9867E1;
3.5667;-2.0657E0;-7.8835E1;
3.5833;-3.8246E0;-6.4383E1;
3.6;-6.5323E0;-4.714E1;
3.6167;-1.1103E1;-2.7852E1;
3.6333;-2.2667E1;-7.3565E0;
3.65;-1.742E1;1.3458E1;
3.6667;-9.4502E0;3.3689E1;
3.6833;-5.6036E0;5.2459E1;
3.7;-3.2288E0;6.8954E1;
3.7167;-1.6752E0;8.2459E1;
3.7333;-6.8769E-1;9.2388E1;
3.75;-1.48E-1;9.8311E1;
3.7667;-2.6167E-3;9.997E1;
3.7833;-2.3828E-1;9.7294E1;
