#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
0;-5.9191E1;-1.0976E-1;
0.0143;-5.921E1;-1.0953E-1;
0.0286;-5.9266E1;-1.0882E-1;
0.0429;-5.9359E1;-1.0766E-1;
0.0571;-5.9491E1;-1.0603E-1;
0.0714;-5.9664E1;-1.0395E-1;
0.0857;-5.988E1;-1.014E-1;
0.1;-6.0145E1;-9.8339E-2;
0.1143;-6.0471E1;-9.4726E-2;
0.1286;-6.0869E1;-9.0476E-2;
0.1429;-6.1363E1;-8.5482E-2;
0.1571;-6.198E1;-7.9615E-2;
0.1714;-6.2765E1;-7.2733E-2;
0.1857;-6.3783E1;-6.4691E-2;
0.2;-6.5136E1;-5.5358E-2;
0.2143;-6.7007E1;-4.4632E-2;
0.2286;-6.9773E1;-3.2459E-2;
0.2429;-7.4493E1;-1.8852E-2;
0.2571;-8.8179E1;-3.9E-3;
0.2714;-7.8261E1;1.2217E-2;
0.2857;-7.0685E1;2.9226E-2;
0.3;-6.6601E1;4.6766E-2;
0.3143;-6.3823E1;6.4393E-2;
0.3286;-6.1766E1;8.1606E-2;
0.3429;-6.0188E1;9.7863E-2;
0.3571;-5.8968E1;1.1262E-1;
0.3714;-5.8037E1;1.2536E-1;
0.3857;-5.7354E1;1.3562E-1;
0.4;-5.689E1;1.4305E-1;
0.4143;-5.6629E1;1.4741E-1;
0.4286;-5.6558E1;1.4863E-1;
0.4429;-5.6666E1;1.4678E-1;
0.4571;-5.6947E1;1.4212E-1;
0.4714;-5.7391E1;1.3503E-1;
0.4857;-5.7988E1;1.2606E-1;
0.5;-5.8722E1;1.1586E-1;
0.5143;-5.9567E1;1.0511E-1;
0.5286;-6.0488E1;9.4536E-2;
0.5429;-6.1431E1;8.4811E-2;
0.5571;-6.2325E1;7.6514E-2;
0.5714;-6.3087E1;7.0087E-2;
0.5857;-6.3637E1;6.5789E-2;
0.6;-6.3921E1;6.3674E-2;
0.6143;-6.3934E1;6.3574E-2;
0.6286;-6.3728E1;6.5099E-2;
0.6429;-6.3393E1;6.7663E-2;
0.6571;-6.3034E1;7.0514E-2;
0.6714;-6.2759E1;7.2789E-2;
0.6857;-6.2666E1;7.3573E-2;
0.7;-6.2857E1;7.1973E-2;
0.7143;-6.3454E1;6.7189E-2;
0.7286;-6.4645E1;5.8581E-2;
0.7429;-6.6795E1;4.5738E-2;
0.7571;-7.0897E1;2.852E-2;
0.7714;-8.2981E1;7.0946E-3;
0.7857;-7.4868E1;-1.8056E-2;
0.8;-6.6717E1;-4.6145E-2;
0.8143;-6.237E1;-7.6118E-2;
0.8286;-5.9436E1;-1.0671E-1;
0.8429;-5.7297E1;-1.3651E-1;
0.8571;-5.5699E1;-1.6407E-1;
0.8714;-5.4517E1;-1.88E-1;
0.8857;-5.3679E1;-2.0703E-1;
0.9;-5.3145E1;-2.2016E-1;
0.9143;-5.2891E1;-2.267E-1;
0.9286;-5.2905E1;-2.2632E-1;
0.9429;-5.3185E1;-2.1914E-1;
0.9571;-5.3736E1;-2.0569E-1;
0.9714;-5.4568E1;-1.8689E-1;
0.9857;-5.5703E1;-1.6401E-1;
1;-5.7165E1;-1.386E-1;
1.0143;-5.8988E1;-1.1235E-1;
1.0286;-6.1206E1;-8.7033E-2;
1.0429;-6.3836E1;-6.4301E-2;
1.0571;-6.6817E1;-4.5618E-2;
1.0714;-6.9863E1;-3.2124E-2;
1.0857;-7.2203E1;-2.4537E-2;
1.1;-7.2732E1;-2.3089E-2;
1.1143;-7.1217E1;-2.7488E-2;
1.1286;-6.8655E1;-3.6921E-2;
1.1429;-6.6005E1;-5.0092E-2;
1.1571;-6.3701E1;-6.5307E-2;
1.1714;-6.1876E1;-8.058E-2;
1.1857;-6.0558E1;-9.3776E-2;
1.2;-5.9763E1;-1.0277E-1;
1.2143;-5.9527E1;-1.0559E-1;
1.2286;-5.9945E1;-1.0063E-1;
1.2429;-6.1237E1;-8.6724E-2;
1.2571;-6.3971E1;-6.3307E-2;
1.2714;-7.032E1;-3.0477E-2;
1.2857;-7.9198E1;1.0967E-2;
1.3;-6.4502E1;5.9549E-2;
1.3143;-5.8925E1;1.1318E-1;
1.3286;-5.5429E1;1.6927E-1;
1.3429;-5.2961E1;2.2488E-1;
1.3571;-5.1152E1;2.7694E-1;
1.3714;-4.9832E1;3.2241E-1;
1.3857;-4.8909E1;3.5854E-1;
1.4;-4.8335E1;3.8305E-1;
1.4143;-4.8084E1;3.9429E-1;
1.4286;-4.8147E1;3.9143E-1;
1.4429;-4.853E1;3.7452E-1;
1.4571;-4.9256E1;3.4452E-1;
1.4714;-5.0364E1;3.0325E-1;
1.4857;-5.1926E1;2.5334E-1;
1.5;-5.4066E1;1.98E-1;
1.5143;-5.7022E1;1.4089E-1;
1.5286;-6.1331E1;8.5789E-2;
1.5429;-6.8785E1;3.6372E-2;
1.5571;-8.7802E1;-4.0727E-3;
1.5714;-6.9653E1;-3.2911E-2;
1.5857;-6.6307E1;-4.8379E-2;
1.6;-6.6064E1;-4.9751E-2;
1.6143;-6.8534E1;-3.7438E-2;
1.6286;-7.7715E1;-1.3009E-2;
1.6429;-7.3606E1;2.0878E-2;
1.6571;-6.4347E1;6.0623E-2;
1.6714;-5.9836E1;1.0191E-1;
1.6857;-5.7077E1;1.4E-1;
1.7;-5.5387E1;1.7007E-1;
1.7143;-5.4537E1;1.8757E-1;
1.7286;-5.449E1;1.8857E-1;
1.7429;-5.5384E1;1.7014E-1;
1.7571;-5.7684E1;1.3056E-1;
1.7714;-6.3149E1;6.9588E-2;
1.7857;-7.8807E1;-1.1472E-2;
1.8;-5.9192E1;-1.0975E-1;
1.8143;-5.3116E1;-2.2091E-1;
1.8286;-4.9385E1;-3.3942E-1;
1.8429;-4.6768E1;-4.5879E-1;
1.8571;-4.4851E1;-5.7206E-1;
1.8714;-4.345E1;-6.7223E-1;
1.8857;-4.2467E1;-7.5273E-1;
1.9;-4.1852E1;-8.0795E-1;
1.9143;-4.1581E1;-8.3362E-1;
1.9286;-4.1647E1;-8.2724E-1;
1.9429;-4.2066E1;-7.8832E-1;
1.9571;-4.2872E1;-7.1849E-1;
1.9714;-4.4131E1;-6.2149E-1;
1.9857;-4.5968E1;-5.0305E-1;
2;-4.8624E1;-3.7049E-1;
2.0143;-5.2678E1;-2.3233E-1;
2.0286;-6.0203E1;-9.7687E-2;
2.0429;-7.2274E1;2.4338E-2;
2.0571;-5.8038E1;1.2535E-1;
2.0714;-5.4053E1;1.9831E-1;
2.0857;-5.2463E1;2.3815E-1;
2.1;-5.2315E1;2.4224E-1;
2.1143;-5.3525E1;2.1074E-1;
2.1286;-5.6668E1;1.4676E-1;
2.1429;-6.4987E1;5.6315E-2;
2.1571;-6.5685E1;-5.1972E-2;
2.1714;-5.553E1;-1.673E-1;
2.1857;-5.1138E1;-2.774E-1;
2.2;-4.8652E1;-3.693E-1;
2.2143;-4.7325E1;-4.303E-1;
2.2286;-4.6957E1;-4.489E-1;
2.2429;-4.7623E1;-4.1578E-1;
2.2571;-4.9772E1;-3.2463E-1;
2.2714;-5.5245E1;-1.7287E-1;
2.2857;-6.8439E1;3.785E-2;
2.3;-5.0415E1;3.0147E-1;
2.3143;-4.4328E1;6.0759E-1;
2.3286;-4.0521E1;9.4181E-1;
2.3429;-3.7812E1;1.2865E0;
2.3571;-3.58E1;1.6219E0;
2.3714;-3.4303E1;1.9269E0;
2.3857;-3.3227E1;2.181E0;
2.4;-3.2522E1;2.3654E0;
2.4143;-3.2165E1;2.4647E0;
2.4286;-3.2154E1;2.4677E0;
2.4429;-3.2508E1;2.3692E0;
2.4571;-3.3269E1;2.1704E0;
2.4714;-3.4521E1;1.8791E0;
2.4857;-3.642E1;1.5101E0;
2.5;-3.9298E1;1.0842E0;
2.5143;-4.4047E1;6.2758E-1;
2.5286;-5.54E1;1.6983E-1;
2.5429;-5.1783E1;-2.5754E-1;
2.5571;-4.4104E1;-6.2346E-1;
2.5714;-4.0919E1;-8.9961E-1;
2.5857;-3.9471E1;-1.0628E0;
2.6;-3.9195E1;-1.0971E0;
2.6143;-4.0035E1;-9.9597E-1;
2.6286;-4.2344E1;-7.6347E-1;
2.6429;-4.7633E1;-4.1531E-1;
2.6571;-7.3509E1;2.1113E-2;
2.6714;-4.5895E1;5.0729E-1;
2.6857;-4.0043E1;9.9511E-1;
2.7;-3.6899E1;1.4291E0;
2.7143;-3.5142E1;1.7495E0;
2.7286;-3.4444E1;1.8959E0;
2.7429;-3.4841E1;1.8112E0;
2.7571;-3.6796E1;1.4461E0;
2.7714;-4.2348E1;7.6317E-1;
2.7857;-5.1742E1;-2.5877E-1;
2.8;-3.5802E1;-1.6215E0;
2.8143;-2.9618E1;-3.3045E0;
2.8286;-2.5574E1;-5.2636E0;
2.8429;-2.258E1;-7.4303E0;
2.8571;-2.0253E1;-9.7129E0;
2.8714;-1.8417E1;-1.1999E1;
2.8857;-1.6979E1;-1.416E1;
2.9;-1.5888E1;-1.6054E1;
2.9143;-1.5121E1;-1.7536E1;
2.9286;-1.4674E1;-1.8463E1;
2.9429;-1.4563E1;-1.8701E1;
2.9571;-1.483E1;-1.8134E1;
2.9714;-1.5558E1;-1.6676E1;
2.9857;-1.6911E1;-1.4271E1;
3;-1.9248E1;-1.0905E1;
3.0143;-2.3599E1;-6.608E0;
3.0286;-3.672E1;-1.4588E0;
3.0429;-2.7099E1;4.4162E0;
3.0571;-1.9297E1;1.0843E1;
3.0714;-1.5087E1;1.7606E1;
3.0857;-1.2234E1;2.4451E1;
3.1;-1.0145E1;3.1098E1;
3.1143;-8.5773E0;3.7251E1;
3.1286;-7.4105E0;4.2606E1;
3.1429;-6.5817E0;4.6872E1;
3.1571;-6.0591E0;4.9779E1;
3.1714;-5.8328E0;5.1093E1;
3.1857;-5.9117E0;5.0631E1;
3.2;-6.3265E0;4.827E1;
3.2143;-7.1392E0;4.3958E1;
3.2286;-8.4679E0;3.7723E1;
3.2429;-1.0554E1;2.967E1;
3.2571;-1.3985E1;1.9987E1;
3.2714;-2.0972E1;8.9414E0;
3.2857;-3.0088E1;-3.1306E0;
3.3;-1.601E1;-1.5831E1;
3.3143;-1.0837E1;-2.8717E1;
3.3286;-7.6783E0;-4.1313E1;
3.3429;-5.4927E0;-5.3133E1;
3.3571;-3.9174E0;-6.3699E1;
3.3714;-2.7861E0;-7.256E1;
3.3857;-2.0131E0;-7.9313E1;
3.4;-1.5537E0;-8.3621E1;
3.4143;-1.3881E0;-8.523E1;
3.4286;-1.5164E0;-8.398E1;
3.4429;-1.9581E0;-7.9817E1;
3.4571;-2.7578E0;-7.2797E1;
3.4714;-4.0013E0;-6.3086E1;
3.4857;-5.8552E0;-5.0961E1;
3.5;-8.6843E0;-3.6795E1;
3.5143;-1.3536E1;-2.1048E1;
3.5286;-2.743E1;-4.2511E0;
3.5429;-1.7711E1;1.3015E1;
