#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
2.0286;-6.8968E1;3.5614E-2;
2.0429;-7.079E1;-2.8874E-2;
2.0571;-6.0409E1;-9.5397E-2;
2.0714;-5.5979E1;-1.5888E-1;
2.0857;-5.3381E1;-2.1427E-1;
2.1;-5.18E1;-2.5705E-1;
2.1143;-5.0945E1;-2.8364E-1;
2.1286;-5.0698E1;-2.9182E-1;
2.1429;-5.1025E1;-2.8102E-1;
2.1571;-5.1957E1;-2.5244E-1;
2.1714;-5.3593E1;-2.0909E-1;
2.1857;-5.6161E1;-1.5558E-1;
2.2;-6.0194E1;-9.7794E-2;
2.2143;-6.7444E1;-4.244E-2;
2.2286;-8.8982E1;3.5557E-3;
2.2429;-6.9454E1;3.3674E-2;
2.2571;-6.7443E1;4.2445E-2;
2.2714;-7.169E1;2.6033E-2;
2.2857;-7.5244E1;-1.7291E-2;
2.3;-6.1226E1;-8.684E-2;
2.3143;-5.4923E1;-1.7941E-1;
2.3286;-5.077E1;-2.894E-1;
2.3429;-4.7762E1;-4.0916E-1;
2.3571;-4.5522E1;-5.2956E-1;
2.3714;-4.3866E1;-6.4076E-1;
2.3857;-4.2698E1;-7.3301E-1;
2.4;-4.1964E1;-7.9766E-1;
2.4143;-4.164E1;-8.2793E-1;
2.4286;-4.1726E1;-8.1979E-1;
2.4429;-4.2242E1;-7.7247E-1;
2.4571;-4.3239E1;-6.8877E-1;
2.4714;-4.4805E1;-5.7512E-1;
2.4857;-4.7107E1;-4.4121E-1;
2.5;-5.0477E1;-2.9934E-1;
2.5143;-5.573E1;-1.6349E-1;
2.5286;-6.6356E1;-4.8104E-2;
2.5429;-6.9574E1;3.3212E-2;
2.5571;-6.3216E1;6.9058E-2;
2.5714;-6.5763E1;5.1508E-2;
2.5857;-7.2832E1;-2.2824E-2;
2.6;-5.636E1;-1.5205E-1;
2.6143;-4.9664E1;-3.287E-1;
2.6286;-4.5354E1;-5.3987E-1;
2.6429;-4.2294E1;-7.6791E-1;
2.6571;-4.0073E1;-9.9163E-1;
2.6714;-3.8505E1;-1.1878E0;
2.6857;-3.7501E1;-1.3334E0;
2.7;-3.7033E1;-1.4072E0;
2.7143;-3.7124E1;-1.3925E0;
2.7286;-3.7865E1;-1.2787E0;
2.7429;-3.9469E1;-1.0631E0;
2.7571;-4.2478E1;-7.5179E-1;
2.7714;-4.887E1;-3.6017E-1;
2.7857;-6.115E1;8.7594E-2;
2.8;-4.5038E1;5.5985E-1;
2.8143;-3.9832E1;1.0196E0;
2.8286;-3.691E1;1.4272E0;
2.8429;-3.5168E1;1.7441E0;
2.8571;-3.4261E1;1.9362E0;
2.8714;-3.4076E1;1.978E0;
2.8857;-3.463E1;1.8557E0;
2.9;-3.6077E1;1.5709E0;
2.9143;-3.8848E1;1.1418E0;
2.9286;-4.4369E1;6.0472E-1;
2.9429;-7.7442E1;1.3425E-2;
2.9571;-4.4991E1;-5.6296E-1;
2.9714;-3.9631E1;-1.0434E0;
2.9857;-3.746E1;-1.3397E0;
3;-3.7309E1;-1.3632E0;
3.0143;-3.9732E1;-1.0313E0;
3.0286;-5.1206E1;-2.7525E-1;
3.0429;-4.0423E1;9.5251E-1;
3.0571;-3.1466E1;2.6712E0;
3.0714;-2.6257E1;4.866E0;
3.0857;-2.2517E1;7.4842E0;
3.1;-1.9632E1;1.0433E1;
3.1143;-1.7342E1;1.358E1;
3.1286;-1.5516E1;1.6757E1;
3.1429;-1.4082E1;1.9765E1;
3.1571;-1.3001E1;2.2384E1;
3.1714;-1.2258E1;2.4385E1;
3.1857;-1.1855E1;2.5541E1;
3.2;-1.1822E1;2.564E1;
3.2143;-1.2215E1;2.4506E1;
3.2286;-1.315E1;2.2004E1;
3.2429;-1.4866E1;1.806E1;
3.2571;-1.7946E1;1.2668E1;
3.2714;-2.4582E1;5.9006E0;
3.2857;-3.3584E1;-2.0932E0;
3.3;-1.9107E1;-1.1083E1;
3.3143;-1.3653E1;-2.0765E1;
3.3286;-1.0237E1;-3.0771E1;
3.3429;-7.812E0;-4.0682E1;
3.3571;-6.0125E0;-5.0046E1;
3.3714;-4.6714E0;-5.8402E1;
3.3857;-3.702E0;-6.5298E1;
3.4;-3.0589E0;-7.0316E1;
3.4143;-2.7221E0;-7.3097E1;
3.4286;-2.6908E0;-7.336E1;
3.4429;-2.9842E0;-7.0924E1;
3.4571;-3.6465E0;-6.5716E1;
3.4714;-4.7633E0;-5.7788E1;
3.4857;-6.5006E0;-4.7312E1;
3.5;-9.2226E0;-3.4584E1;
3.5143;-1.3975E1;-2.001E1;
3.5286;-2.7753E1;-4.0959E0;
3.5429;-1.8007E1;1.2579E1;
3.5571;-1.0638E1;2.9383E1;
3.5714;-6.8093E0;4.566E1;
3.5857;-4.3275E0;6.0761E1;
3.6;-2.6067E0;7.4074E1;
3.6143;-1.4064E0;8.5051E1;
3.6286;-6.0814E-1;9.3238E1;
3.6429;-1.4968E-1;9.8292E1;
3.6571;0E0;1E2;
3.6714;-1.4968E-1;9.8292E1;
3.6857;-6.0814E-1;9.3238E1;
3.7;-1.4064E0;8.5051E1;
3.7143;-2.6067E0;7.4074E1;
3.7286;-4.3275E0;6.0761E1;
3.7429;-6.8093E0;4.566E1;
3.7571;-1.0638E1;2.9383E1;
3.7714;-1.8007E1;1.2579E1;
3.7857;-2.7753E1;-4.0959E0;
3.8;-1.3975E1;-2.001E1;
3.8143;-9.2226E0;-3.4584E1;
3.8286;-6.5006E0;-4.7312E1;
3.8429;-4.7633E0;-5.7788E1;
3.8571;-3.6465E0;-6.5716E1;
3.8714;-2.9842E0;-7.0924E1;
3.8857;-2.6908E0;-7.336E1;
3.9;-2.7221E0;-7.3097E1;
3.9143;-3.0589E0;-7.0316E1;
3.9286;-3.702E0;-6.5298E1;
3.9429;-4.6714E0;-5.8402E1;
3.9571;-6.0125E0;-5.0046E1;
3.9714;-7.812E0;-4.0682E1;
3.9857;-1.0237E1;-3.0771E1;
4;-1.3653E1;-2.0765E1;
4.0143;-1.9107E1;-1.1083E1;
4.0286;-3.3584E1;-2.0932E0;
4.0429;-2.4582E1;5.9006E0;
4.0571;-1.7946E1;1.2668E1;
4.0714;-1.4866E1;1.806E1;
4.0857;-1.315E1;2.2004E1;
4.1;-1.2215E1;2.4506E1;
4.1143;-1.1822E1;2.564E1;
4.1286;-1.1855E1;2.5541E1;
4.1429;-1.2258E1;2.4385E1;
4.1571;-1.3001E1;2.2384E1;
4.1714;-1.4082E1;1.9765E1;
4.1857;-1.5516E1;1.6757E1;
4.2;-1.7342E1;1.358E1;
4.2143;-1.9632E1;1.0433E1;
4.2286;-2.2517E1;7.4842E0;
4.2429;-2.6257E1;4.866E0;
4.2571;-3.1466E1;2.6712E0;
4.2714;-4.0423E1;9.5251E-1;
4.2857;-5.1206E1;-2.7525E-1;
4.3;-3.9732E1;-1.0313E0;
4.3143;-3.7309E1;-1.3632E0;
4.3286;-3.746E1;-1.3397E0;
4.3429;-3.9631E1;-1.0434E0;
4.3571;-4.4991E1;-5.6296E-1;
4.3714;-7.7442E1;1.3425E-2;
4.3857;-4.4369E1;6.0472E-1;
4.4;-3.8848E1;1.1418E0;
4.4143;-3.6077E1;1.5709E0;
4.4286;-3.463E1;1.8557E0;
4.4429;-3.4076E1;1.978E0;
4.4571;-3.4261E1;1.9362E0;
4.4714;-3.5168E1;1.7441E0;
4.4857;-3.691E1;1.4272E0;
4.5;-3.9832E1;1.0196E0;
4.5143;-4.5038E1;5.5985E-1;
4.5286;-6.115E1;8.7594E-2;
4.5429;-4.887E1;-3.6017E-1;
4.5571;-4.2478E1;-7.5179E-1;
4.5714;-3.9469E1;-1.0631E0;
4.5857;-3.7865E1;-1.2787E0;
4.6;-3.7124E1;-1.3925E0;
4.6143;-3.7033E1;-1.4072E0;
4.6286;-3.7501E1;-1.3334E0;
4.6429;-3.8505E1;-1.1878E0;
4.6571;-4.0073E1;-9.9163E-1;
4.6714;-4.2294E1;-7.6791E-1;
