#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
0;-7.4037E1;1.9868E-2;
0.0143;-7.4884E1;1.8022E-2;
0.0286;-7.7965E1;1.264E-2;
0.0429;-8.7591E1;4.1728E-3;
0.0571;-8.3524E1;-6.6648E-3;
0.0714;-7.4444E1;-1.8958E-2;
0.0857;-6.9988E1;-3.1666E-2;
0.1;-6.719E1;-4.3704E-2;
0.1143;-6.5346E1;-5.4039E-2;
0.1286;-6.4184E1;-6.177E-2;
0.1429;-6.3582E1;-6.6203E-2;
0.1571;-6.349E1;-6.6912E-2;
0.1714;-6.3907E1;-6.3773E-2;
0.1857;-6.4886E1;-5.6975E-2;
0.2;-6.6557E1;-4.7007E-2;
0.2143;-6.9214E1;-3.4617E-2;
0.2286;-7.3658E1;-2.0755E-2;
0.2429;-8.3752E1;-6.492E-3;
0.2571;-8.3017E1;7.066E-3;
0.2714;-7.4485E1;1.887E-2;
0.2857;-7.1053E1;2.8013E-2;
0.3;-6.9419E1;3.3811E-2;
0.3143;-6.8909E1;3.5854E-2;
0.3286;-6.9358E1;3.405E-2;
0.3429;-7.0864E1;2.8628E-2;
0.3571;-7.3925E1;2.0126E-2;
0.3714;-8.0585E1;9.3481E-3;
0.3857;-9.1375E1;-2.6994E-3;
0.4;-7.6542E1;-1.489E-2;
0.4143;-7.1677E1;-2.607E-2;
0.4286;-6.9081E1;-3.5151E-2;
0.4429;-6.7701E1;-4.1205E-2;
0.4571;-6.7222E1;-4.354E-2;
0.4714;-6.7584E1;-4.1763E-2;
0.4857;-6.8919E1;-3.5812E-2;
0.5;-7.1709E1;-2.5974E-2;
0.5143;-7.7818E1;-1.2856E-2;
0.5286;-9.1532E1;2.6509E-3;
0.5429;-7.4222E1;1.9449E-2;
0.5571;-6.8798E1;3.6318E-2;
0.5714;-6.5678E1;5.2011E-2;
0.5857;-6.3694E1;6.5361E-2;
0.6;-6.2455E1;7.5379E-2;
0.6143;-6.1795E1;8.1333E-2;
0.6286;-6.1638E1;8.2815E-2;
0.6429;-6.1962E1;7.978E-2;
0.6571;-6.2787E1;7.2553E-2;
0.6714;-6.4179E1;6.1809E-2;
0.6857;-6.6281E1;4.8521E-2;
0.7;-6.94E1;3.3885E-2;
0.7143;-7.4324E1;1.9221E-2;
0.7286;-8.4627E1;5.8701E-3;
0.7429;-8.6156E1;-4.9227E-3;
0.7571;-7.8336E1;-1.2111E-2;
0.7714;-7.6513E1;-1.494E-2;
0.7857;-7.7711E1;-1.3015E-2;
0.8;-8.3956E1;-6.3419E-3;
0.8143;-8.6627E1;4.6626E-3;
0.8286;-7.4335E1;1.9198E-2;
0.8429;-6.8841E1;3.6138E-2;
0.8571;-6.5334E1;5.4115E-2;
0.8714;-6.2899E1;7.1626E-2;
0.8857;-6.1194E1;8.7159E-2;
0.9;-6.006E1;9.9312E-2;
0.9143;-5.9419E1;1.0692E-1;
0.9286;-5.9241E1;1.0913E-1;
0.9429;-5.9532E1;1.0554E-1;
0.9571;-6.034E1;9.6157E-2;
0.9714;-6.1779E1;8.148E-2;
0.9857;-6.4092E1;6.2434E-2;
1;-6.7892E1;4.0309E-2;
1.0143;-7.5561E1;1.667E-2;
1.0286;-8.3381E1;-6.7754E-3;
1.0429;-7.0962E1;-2.8308E-2;
1.0571;-6.6681E1;-4.6341E-2;
