#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
0;-8.8659E1;-3.6904E-3;
0.0143;-8.8659E1;-3.6904E-3;
0.0286;-8.8658E1;-3.6905E-3;
0.0429;-8.8658E1;-3.6907E-3;
0.0571;-8.8657E1;-3.6909E-3;
0.0714;-8.8656E1;-3.6913E-3;
0.0857;-8.8656E1;-3.6917E-3;
0.1;-8.8654E1;-3.6921E-3;
0.1143;-8.8653E1;-3.6927E-3;
0.1286;-8.8652E1;-3.6933E-3;
0.1429;-8.865E1;-3.694E-3;
0.1571;-8.8648E1;-3.6948E-3;
0.1714;-8.8646E1;-3.6956E-3;
0.1857;-8.8644E1;-3.6965E-3;
0.2;-8.8642E1;-3.6975E-3;
0.2143;-8.8639E1;-3.6985E-3;
0.2286;-8.8637E1;-3.6997E-3;
0.2429;-8.8634E1;-3.7009E-3;
0.2571;-8.8631E1;-3.7022E-3;
0.2714;-8.8628E1;-3.7035E-3;
0.2857;-8.8624E1;-3.7049E-3;
0.3;-8.8621E1;-3.7064E-3;
0.3143;-8.8617E1;-3.708E-3;
0.3286;-8.8613E1;-3.7097E-3;
0.3429;-8.8609E1;-3.7114E-3;
0.3571;-8.8605E1;-3.7132E-3;
0.3714;-8.8601E1;-3.7151E-3;
0.3857;-8.8596E1;-3.7171E-3;
0.4;-8.8591E1;-3.7191E-3;
0.4143;-8.8586E1;-3.7212E-3;
0.4286;-8.8581E1;-3.7234E-3;
0.4429;-8.8576E1;-3.7257E-3;
0.4571;-8.857E1;-3.7281E-3;
0.4714;-8.8565E1;-3.7305E-3;
0.4857;-8.8559E1;-3.733E-3;
0.5;-8.8553E1;-3.7356E-3;
0.5143;-8.8546E1;-3.7383E-3;
0.5286;-8.854E1;-3.7411E-3;
0.5429;-8.8533E1;-3.7439E-3;
0.5571;-8.8527E1;-3.7469E-3;
0.5714;-8.852E1;-3.7499E-3;
0.5857;-8.8512E1;-3.753E-3;
0.6;-8.8505E1;-3.7562E-3;
0.6143;-8.8498E1;-3.7594E-3;
0.6286;-8.849E1;-3.7628E-3;
0.6429;-8.8482E1;-3.7662E-3;
0.6571;-8.8474E1;-3.7698E-3;
0.6714;-8.8465E1;-3.7734E-3;
0.6857;-8.8457E1;-3.7771E-3;
0.7;-8.8448E1;-3.7809E-3;
0.7143;-8.8439E1;-3.7848E-3;
0.7286;-8.843E1;-3.7888E-3;
0.7429;-8.8421E1;-3.7928E-3;
0.7571;-8.8411E1;-3.797E-3;
0.7714;-8.8401E1;-3.8013E-3;
0.7857;-8.8391E1;-3.8056E-3;
0.8;-8.8381E1;-3.8101E-3;
0.8143;-8.8371E1;-3.8146E-3;
0.8286;-8.836E1;-3.8193E-3;
0.8429;-8.835E1;-3.824E-3;
0.8571;-8.8339E1;-3.8289E-3;
0.8714;-8.8327E1;-3.8338E-3;
0.8857;-8.8316E1;-3.8389E-3;
0.9;-8.8304E1;-3.8441E-3;
0.9143;-8.8292E1;-3.8493E-3;
0.9286;-8.828E1;-3.8547E-3;
0.9429;-8.8268E1;-3.8602E-3;
0.9571;-8.8255E1;-3.8657E-3;
0.9714;-8.8243E1;-3.8714E-3;
0.9857;-8.823E1;-3.8772E-3;
1;-8.8216E1;-3.8831E-3;
1.0143;-8.8203E1;-3.8892E-3;
1.0286;-8.8189E1;-3.8953E-3;
1.0429;-8.8175E1;-3.9016E-3;
1.0571;-8.8161E1;-3.9079E-3;
1.0714;-8.8147E1;-3.9144E-3;
1.0857;-8.8132E1;-3.921E-3;
1.1;-8.8117E1;-3.9277E-3;
1.1143;-8.8102E1;-3.9346E-3;
1.1286;-8.8087E1;-3.9416E-3;
1.1429;-8.8071E1;-3.9487E-3;
1.1571;-8.8055E1;-3.9559E-3;
1.1714;-8.8039E1;-3.9632E-3;
1.1857;-8.8023E1;-3.9707E-3;
1.2;-8.8006E1;-3.9783E-3;
1.2143;-8.7989E1;-3.9861E-3;
1.2286;-8.7972E1;-3.994E-3;
1.2429;-8.7954E1;-4.002E-3;
1.2571;-8.7937E1;-4.0102E-3;
1.2714;-8.7919E1;-4.0185E-3;
1.2857;-8.7901E1;-4.0269E-3;
1.3;-8.7882E1;-4.0355E-3;
1.3143;-8.7863E1;-4.0442E-3;
1.3286;-8.7844E1;-4.0531E-3;
1.3429;-8.7825E1;-4.0621E-3;
1.3571;-8.7805E1;-4.0713E-3;
1.3714;-8.7786E1;-4.0806E-3;
1.3857;-8.7765E1;-4.0901E-3;
1.4;-8.7745E1;-4.0997E-3;
1.4143;-8.7724E1;-4.1095E-3;
1.4286;-8.7703E1;-4.1195E-3;
1.4429;-8.7682E1;-4.1296E-3;
1.4571;-8.766E1;-4.1399E-3;
1.4714;-8.7638E1;-4.1503E-3;
1.4857;-8.7616E1;-4.161E-3;
1.5;-8.7594E1;-4.1717E-3;
1.5143;-8.7571E1;-4.1827E-3;
1.5286;-8.7548E1;-4.1939E-3;
1.5429;-8.7524E1;-4.2052E-3;
1.5571;-8.7501E1;-4.2167E-3;
1.5714;-8.7477E1;-4.2283E-3;
1.5857;-8.7452E1;-4.2402E-3;
1.6;-8.7428E1;-4.2523E-3;
1.6143;-8.7403E1;-4.2645E-3;
1.6286;-8.7377E1;-4.2769E-3;
1.6429;-8.7352E1;-4.2895E-3;
1.6571;-8.7326E1;-4.3023E-3;
1.6714;-8.73E1;-4.3153E-3;
1.6857;-8.7273E1;-4.3285E-3;
1.7;-8.7246E1;-4.3419E-3;
1.7143;-8.7219E1;-4.3555E-3;
1.7286;-8.7192E1;-4.3693E-3;
1.7429;-8.7164E1;-4.3833E-3;
1.7571;-8.7136E1;-4.3977E-3;
1.7714;-8.7107E1;-4.4123E-3;
1.7857;-8.7077E1;-4.4272E-3;
1.8;-8.7047E1;-4.4425E-3;
1.8143;-8.7017E1;-4.4582E-3;
1.8286;-8.6985E1;-4.4745E-3;
1.8429;-8.6953E1;-4.4913E-3;
1.8571;-8.6919E1;-4.5087E-3;
1.8714;-8.6884E1;-4.5269E-3;
1.8857;-8.6848E1;-4.5458E-3;
1.9;-8.681E1;-4.5656E-3;
1.9143;-8.6771E1;-4.5861E-3;
1.9286;-8.6731E1;-4.6072E-3;
1.9429;-8.6691E1;-4.6286E-3;
1.9571;-8.6651E1;-4.6499E-3;
1.9714;-8.6613E1;-4.6704E-3;
1.9857;-8.6578E1;-4.6891E-3;
2;-8.655E1;-4.7045E-3;
2.0143;-8.653E1;-4.715E-3;
2.0286;-8.6524E1;-4.7183E-3;
2.0429;-8.6536E1;-4.7118E-3;
2.0571;-8.6572E1;-4.6923E-3;
2.0714;-8.6639E1;-4.6565E-3;
2.0857;-8.6743E1;-4.6009E-3;
2.1;-8.6893E1;-4.5222E-3;
2.1143;-8.7096E1;-4.418E-3;
2.1286;-8.7357E1;-4.287E-3;
2.1429;-8.768E1;-4.1304E-3;
2.1571;-8.8063E1;-3.9524E-3;
2.1714;-8.8492E1;-3.7617E-3;
2.1857;-8.894E1;-3.5729E-3;
2.2;-8.935E1;-3.4079E-3;
2.2143;-8.9637E1;-3.2974E-3;
2.2286;-8.9677E1;-3.2823E-3;
2.2429;-8.9334E1;-3.4143E-3;
2.2571;-8.8503E1;-3.7569E-3;
2.2714;-8.7162E1;-4.3842E-3;
2.2857;-8.5385E1;-5.3795E-3;
2.3;-8.331E1;-6.8315E-3;
2.3143;-8.1082E1;-8.8291E-3;
2.3286;-7.8822E1;-1.1453E-2;
2.3429;-7.6615E1;-1.4766E-2;
2.3571;-7.4518E1;-1.8797E-2;
2.3714;-7.2568E1;-2.353E-2;
2.3857;-7.0789E1;-2.8878E-2;
2.4;-6.9201E1;-3.4668E-2;
2.4143;-6.7826E1;-4.0617E-2;
2.4286;-6.6686E1;-4.6311E-2;
2.4429;-6.5817E1;-5.1189E-2;
2.4571;-6.5268E1;-5.4525E-2;
2.4714;-6.5125E1;-5.543E-2;
2.4857;-6.5538E1;-5.2854E-2;
2.5;-6.6819E1;-4.5609E-2;
2.5143;-6.9786E1;-3.2413E-2;
2.5286;-7.8453E1;-1.195E-2;
2.5429;-7.537E1;1.704E-2;
2.5571;-6.5091E1;5.5649E-2;
2.5714;-5.9605E1;1.0466E-1;
2.5857;-5.5683E1;1.6437E-1;
2.6;-5.2599E1;2.3445E-1;
2.6143;-5.007E1;3.1369E-1;
2.6286;-4.7962E1;3.9988E-1;
2.6429;-4.6204E1;4.8955E-1;
2.6571;-4.4763E1;5.7792E-1;
2.6714;-4.3626E1;6.5873E-1;
2.6857;-4.2802E1;7.2429E-1;
2.7;-4.2321E1;7.6552E-1;
2.7143;-4.2246E1;7.7219E-1;
2.7286;-4.2695E1;7.3323E-1;
2.7429;-4.3913E1;6.3728E-1;
2.7571;-4.6497E1;4.7329E-1;
2.7714;-5.2715E1;2.3135E-1;
2.7857;-6.0322E1;-9.6361E-2;
2.8;-4.5772E1;-5.1453E-1;
2.8143;-3.9797E1;-1.0236E0;
2.8286;-3.5817E1;-1.6187E0;
2.8429;-3.2809E1;-2.2886E0;
2.8571;-3.0415E1;-3.0147E0;
2.8714;-2.8472E1;-3.7707E0;
2.8857;-2.6893E1;-4.5221E0;
2.9;-2.5635E1;-5.2267E0;
2.9143;-2.4679E1;-5.8351E0;
2.9286;-2.4024E1;-6.2919E0;
2.9429;-2.3691E1;-6.5382E0;
2.9571;-2.3723E1;-6.514E0;
2.9714;-2.4207E1;-6.161E0;
2.9857;-2.5308E1;-5.4272E0;
3;-2.7391E1;-4.2704E0;
3.0143;-3.1494E1;-2.6626E0;
3.0286;-4.4516E1;-5.9456E-1;
3.0429;-3.4331E1;1.9207E0;
3.0571;-2.6295E1;4.8444E0;
3.0714;-2.182E1;8.1095E0;
3.0857;-1.8696E1;1.162E1;
3.1;-1.6334E1;1.525E1;
3.1143;-1.4494E1;1.8849E1;
3.1286;-1.3056E1;2.2242E1;
3.1429;-1.1959E1;2.5238E1;
3.1571;-1.1171E1;2.7636E1;
3.1714;-1.0682E1;2.9234E1;
3.1857;-1.0503E1;2.9844E1;
3.2;-1.0664E1;2.9297E1;
3.2143;-1.1227E1;2.7457E1;
3.2286;-1.2311E1;2.4235E1;
3.2429;-1.4157E1;1.9595E1;
3.2571;-1.7352E1;1.3564E1;
3.2714;-2.4099E1;6.2382E0;
3.2857;-3.3097E1;-2.2139E0;
3.3;-1.8745E1;-1.1554E1;
3.3143;-1.336E1;-2.1479E1;
3.3286;-9.9992E0;-3.1626E1;
3.3429;-7.6205E0;-4.1589E1;
3.3571;-5.8599E0;-5.0934E1;
3.3714;-4.5512E0;-5.9216E1;
3.3857;-3.6087E0;-6.6003E1;
3.4;-2.9876E0;-7.0895E1;
3.4143;-2.6685E0;-7.3548E1;
3.4286;-2.6514E0;-7.3693E1;
3.4429;-2.9558E0;-7.1156E1;
3.4571;-3.6263E0;-6.587E1;
3.4714;-4.7488E0;-5.7884E1;
3.4857;-6.4896E0;-4.7372E1;
3.5;-9.2124E0;-3.4624E1;
3.5143;-1.3961E1;-2.0043E1;
3.5286;-2.7684E1;-4.1284E0;
3.5429;-1.8031E1;1.2545E1;
3.5571;-1.0649E1;2.9347E1;
3.5714;-6.8158E0;4.5626E1;
3.5857;-4.3318E0;6.0731E1;
3.6;-2.6094E0;7.4051E1;
3.6143;-1.4079E0;8.5037E1;
3.6286;-6.0882E-1;9.3231E1;
3.6429;-1.4985E-1;9.829E1;
3.6571;0E0;1E2;
3.6714;-1.4985E-1;9.829E1;
3.6857;-6.0882E-1;9.3231E1;
3.7;-1.4079E0;8.5037E1;
3.7143;-2.6094E0;7.4051E1;
3.7286;-4.3318E0;6.0731E1;
